"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Uttar_Pradesh","17","1","2017","3","0","4","1","NARESH SAINI","M","INC","97035","GEN","252559","336576","BEHAT","GEN","WEST","13","75.04","38.42","no","25586","10.13","3.23","AEUP102026","","3482","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","53","SAHARANPUR","","","","Post Graduate","Agriculture","","",""
"AE","Uttar_Pradesh","17","1","2017","3","0","4","2","MAHAVEER SINGH RANA","M","BJP","71449","GEN","252559","336576","BEHAT","GEN","WEST","13","75.04","28.29","no","430","0.17","3.23","AEUP100218","","1605","TRUE","3","BSP","16651","BEHAT","TRUE","FALSE","2","TRUE","TRUE","TRUE","55","SAHARANPUR","","","","Graduate Professional","Business","","Agriculture",""
"AE","Uttar_Pradesh","17","1","2017","3","0","4","3","MOHD. IQBAL","M","BSP","71019","GEN","252559","336576","BEHAT","GEN","WEST","13","75.04","28.12","no","66832","26.46","3.23","AEUP102028","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","52","SAHARANPUR","","","","Literate","Business","","Agriculture",""
"AE","Uttar_Pradesh","17","1","2017","3","0","4","4","RANA ADITYA PRATAP SINGH","M","IND","4187","GEN","252559","336576","BEHAT","GEN","WEST","13","75.04","1.66","yes","2611","1.03","3.23","AEUP100220","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","49","SAHARANPUR","","","","12th Pass","Agriculture","","",""
"AE","Uttar_Pradesh","17","1","2017","3","0","4","5","None of the Above","","NOTA","1576","","252559","336576","BEHAT","GEN","WEST","13","75.04","0.62","yes","321","0.13","3.23","","","5897","TRUE","","","","","","","","","FALSE","FALSE","","SAHARANPUR","","","","","","","",""
"AE","Uttar_Pradesh","17","1","2017","3","0","4","6","KAMRAN ALI","M","BHASP","1255","GEN","252559","336576","BEHAT","GEN","WEST","13","75.04","0.5","yes","105","0.04","3.23","AEUP100221","","1879","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","37","SAHARANPUR","","","","","","","",""
"AE","Uttar_Pradesh","17","1","2017","3","0","4","7","ARUN","M","RLD","1150","GEN","252559","336576","BEHAT","GEN","WEST","13","75.04","0.46","yes","37","0.01","3.23","AEUP102031","","12169","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","38","SAHARANPUR","","","","12th Pass","Agriculture","","",""
"AE","Uttar_Pradesh","17","1","2017","3","0","4","8","HARDHYAN","M","IND","1113","SC","252559","336576","BEHAT","GEN","WEST","13","75.04","0.44","yes","168","0.07","3.23","AEUP100223","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","39","SAHARANPUR","","","","5th Pass","Labourer or Daily Wage","","",""
"AE","Uttar_Pradesh","17","1","2017","3","0","4","9","GOPAL SINGH","M","IND","945","GEN","252559","336576","BEHAT","GEN","WEST","13","75.04","0.37","yes","135","0.05","3.23","AEUP102033","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","32","SAHARANPUR","","","","10th Pass","Other or Unspecified","","",""
"AE","Uttar_Pradesh","17","1","2017","3","0","4","10","KRISHNA KUMAR","M","IND","810","SC","252559","336576","BEHAT","GEN","WEST","13","75.04","0.32","yes","151","0.06","3.23","AEUP100225","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","35","SAHARANPUR","","","","","","","",""
"AE","Uttar_Pradesh","17","1","2017","3","0","4","11","KALYAN SINGH","M","IND","659","GEN","252559","336576","BEHAT","GEN","WEST","13","75.04","0.26","yes","42","0.02","3.23","AEUP102035","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","45","SAHARANPUR","","","","","","","",""
